	Unnamed: 0	id	utterances	utterances_ntclean	sender	addressee	Comfun1	dial_type	Comfun2	interjection	subobjvrb	aux_keywords	Dim1	Dim2	Comfun3	dialog_policy	dialog_CA
0	0	DID1	good afternoon	good afternoon	p1	p2	Opening	chitChatHh	initialgreeting	afternoon	afternoon		Dialogue Structuring	Social Obligation Management	Opening	Binding	FPPpre
1	1	DID1	hello	hello	p2	p1	Opening	chitChatHh	returnGreeting 	hello	 		Dialogue Structuring	Social Obligation Management	Opening	Binding	FPPpre
2	2	DID1	uh	uh	p1	p2	Turntake	chitChatHh	stalling	uh	 		Turn Management	Time Management	Turntake	CoOccur	FPPinsert
3	3	DID1	what is your name	what is your name	p1	p2	Setquestion	chitChatHh		what s name	what name s		Ta		Setquestion	Binding	FPPbase
4	4	DID1	my name is gregor linn	my name is gregor linn	p2	p1	Setanswer	chitChatHh		name gregor	name gregor is		Ta		Setanswer	Progressive	SPPbase
5	5	DID1	nice to meet you	nice to meet you	p1	p2	Autopositive	chitChatHh	initGreeting 		 you meet	to meet you	Auto Feedback	Social Obligation Management	Autopositive	CoOccur	SPPinsert
6	6	DID1	nice to meet you	nice to meet you	p2	p1	Autopositive	chitChatHh	returnGreeting 		 you meet	to meet you	Auto Feedback	Social Obligation Management	Autopositive	CoOccur	SPPinsert
7	7	DID1	uh	uh	p1	p2	Turntake	chitChatHh	stalling	uh	 		Turn Management	Time Management	Turntake	CoOccur	FPPinsert
8	8	DID1	how are you doing today	how are you doing today	p1	p2	Setquestion	chitChatHh		today	you today are doing	are you doing	Ta		Setquestion	Binding	FPPbase
9	9	DID1	mh	mh	p2	p1	Turnaccept	chitChatHh			 		Turn Management		Turnaccept	Progressive	FPPinsert
10	10	DID1	fine	fine	p2	p1	Setanswer	chitChatHh			 		Ta		Setanswer	Progressive	SPPbase
11	11	DID1	i m doing well too	i m doing well too	p1	p2	Autopositive	chitChatHh	inform	i m	i m doing		Auto Feedback	Other Communication Management	Autopositive	CoOccur	SPPinsert
12	12	DID1	uh	uh	p1	p2	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	Time Management	Turnkeep	CoOccur	FPPinsert
13	13	DID1	lets play	lets play	p1	p2	Suggest	chitChatHh		lets	lets play play		Task Management		Suggest	Binding	FPPbase
14	14	DID1	so first ill tell you the rules	so first ill tell you the rules	p1	p2	Inform	chitChatHh	interactionStructuring	rules	ill rules rules tell		Task Management	Dialogue Structuring	Inform	Progressive	FPPinsert
15	15	DID1	i am a very famous person	i am a very famous person	p1	p2	Inform	chitChatHh		i a person	i person am		Task Management		Inform	Progressive	FPPinsert
16	16	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
17	17	DID1	uh	uh	p1	p2	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
18	18	DID1	you need to guess my name	you need to guess my name	p1	p2	Instruct	chitChatHh		name	you name name need guess	to guess my	Task Management		Instruct	Binding	FPPbase
19	19	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
20	20	DID1	you can ask several questions except for one about my name	you can ask several questions except for one about my name	p1	p2	Instruct	chitChatHh		questions name	you questions name questions can ask	can ask several	Task Management		Instruct	Binding	FPPbase
21	21	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
22	22	DID1	you do not have to ask yes or no questions	you do not have to ask yes or no questions	p1	p2	Instruct	chitChatHh		yes or questions	you questions questions do have ask	do not have to ask yes	Task Management		Instruct	Binding	FPPbase
23	23	DID1	you can also ask open ended questions	you can also ask open ended questions	p1	p2	Instruct	chitChatHh		questions	you questions questions can ask ended	can also ask	Task Management		Instruct	Binding	FPPbase
24	24	DID1	okay i understand	okay i understand	p2	p1	Inform	chitChatHh	autoPositive 	okay i	i understand		Task Management	 Auto Feedback	Inform	Progressive	FPPinsert
25	25	DID1	you have ten tries	you have ten tries	p1	p2	Inform	chitChatHh		tries	you tries tries have		Task Management		Inform	Progressive	FPPinsert
26	26	DID1	and if after ten questions or earlier you guess my name correctly	and if after ten questions or earlier you guess my name correctly	p1	p2	Inform	chitChatHh		and questions or name	questions you name name guess		Task Management		Inform	Progressive	FPPinsert
